RTCM_Message_Type,Count,Category
1006,47,TARGET
1008,47,TARGET
1019,31,TARGET
1020,1,TARGET
1029,2,TARGET
1033,47,TARGET
1042,38,TARGET
1046,47,TARGET
1075,47,TARGET
1095,47,TARGET
1125,47,TARGET
